,Food label,Subs A,Food Nutri-Value,Subs A Nutri-Value,Subs B,Subs B Nutri-Value
64,"SOUP,CRM OF ASPARAGUS,CND,COND","CAMPBELL'S SOUP ON THE GO,CHICK W/ MINI NOODLES SOUP",6,3,"SOUP,BF NOODLE,CND,PREP W/ EQ VOLUME H2O",2
65,"SOUP,CHS,CND,COND","SOUP,MINESTRONE,CND,COND",8,3,"CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP",-2
66,"SOUP,MUSHROOM W/ BF STOCK,CND,COND","PREGO PASTA,CHNKY GRD MSHRM & GRN PPPR ITAL SAU,RTS",8,3,"CAMPBELL'S LO NA SOUPS,CRM OF MUSHROOM SOUP",0
67,"SOUP,TOMATO BF W/ NOODLE,CND,COND","CAMPBELL'S,CRM OF CHICK SOUP,COND",7,4,"SOUP,LENTIL W/HAM,CND,RTS",3
68,"SAUCE,RTS,PEPPER OR HOT","SAUCE,TOMATO CHILI SAU,BTLD,W/SALT",10,7,"SAUCE,PIZZA,CND,RTS",0
69,"SAUCE,TERIYAKI,RTS,RED NA","CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND",11,3,CAMPBELL'S HOMESTYLE POTATO BROCCOLI CHS SOUP,1
70,CAMPBELL'S TURKEY GRAVY,"SOUP,STOCK,FISH,HOME-PREPARED",4,0,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",-1
71,"CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND","CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND",6,4,"CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",0
72,"CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND","CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",4,0,"SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",-1
73,"CAMPBELL'S,VEG BF SOUP,COND","SOUP,STOCK,FISH,HOME-PREPARED",3,0,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",-1
