,Food label,Subs A,Food Nutri-Value,Subs A Nutri-Value,Subs B,Subs B Nutri-Value
162,"LEEKS,(BULB&LOWER LEAF-PORTION),RAW","ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",-1,-3,"SWEET POTATO LEAVES,RAW",-6
163,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW","SWAMP CABBAGE,(SKUNK CABBAGE),RAW",-1,-2,"BAMBOO SHOOTS,RAW",-3
164,"LETTUCE,GRN LEAF,RAW","CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT",-1,-2,"LETTUCE,COS OR ROMAINE,RAW",-2
165,"MUSTARD SPINACH,(TENDERGREEN),RAW","DOCK,RAW",-3,-4,"COLLARDS,RAW",-5
166,"NEW ZEALAND SPINACH,RAW","CAULIFLOWER,FRZ,CKD,BLD,DRND,W/SALT",0,-1,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,UNPREP",-1
167,"OKRA,CKD,BLD,DRND,WO/SALT","MUSTARD GREENS,RAW",-3,-4,"PEAS,GREEN,RAW",-6
168,"ONIONS,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT","CABBAGE,RED,CKD,BLD,DRND,WO/SALT",-1,-2,"TREE FERN,CKD,WO/SALT",-3
169,"PEAS&ONIONS,CND,SOL&LIQUIDS","TARO,LEAVES,CKD,STMD,W/SALT",0,-1,"SUCCOTASH,(CORN&LIMAS),CND,W/CRM STYLE CORN",-2
170,"PEPPERS,HOT CHILI,GRN,CND,PODS,EXCLUDING SEEDS,SOL&LIQUIDS","ONIONS,YEL,SAUTEED",9,1,"TARO LEAVES,RAW",-6
171,"PEPPERS,SWT,GRN,RAW","ASPARAGUS,RAW",-1,-3,"LIMA BNS,IMMAT SEEDS,RAW",-8
172,"PEPPERS,SWT,GRN,FRZ,CHOPD,BLD,DRND,WO/SALT","DRUMSTICK PODS,CKD,BLD,DRND,W/ SALT",0,-2,"BROCCOLI,FRZ,SPEARS,UNPREP",-4
173,"POTATOES,RUSSET,FLESH & SKN,RAW","BROCCOLI,FRZ,CHOPD,UNPREP",-2,-4,"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,WO/SALT",-7
174,"POTATOES,BLD,CKD WO/ SKN,FLESH,WO/ SALT","MUSHROOMS,OYSTER,RAW",-1,-4,"VEGETABLES,MXD,FRZ,UNPREP",-6
175,"POTATOES,MICROWAVED,CKD IN SKN,FLESH,WO/SALT","PUMPKIN PIE MIX,CANNED",-1,-2,"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,WO/SALT",-2
176,"POTATO PUFFS,FRZ,OVEN-HEATED","PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,WO/ SALT",5,0,"TURNIPS,CKD,BLD,DRND,WO/SALT",-2
177,"POTATOES,FRENCH FR,ALL TYPES,SALT ADDED IN PROC,FRZ,UNPREP","POTATOES,HASH BROWN,FRZ,W/ BUTTER SAU,PREP",3,1,"POTATOES,FR FR,ALL TYPES,SALT NOT ADDED IN PROC,FRZ,OVN-HTD",0
178,"POTATOES,FRENCH FR,STK FRIES,SALT ADDED IN PROC,FRZ,AS PRCH","LETTUCE,RED LEAF,RAW",2,0,"FIDDLEHEAD FERNS,RAW",-2
179,"PUMPKIN LEAVES,RAW","WINGED BEAN LEAVES,RAW",-1,-3,"CHICORY,WITLOOF,RAW",-3
180,"PUMPKIN LEAVES,CKD,BLD,DRND,WO/SALT","SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED",-3,-4,"COLLARDS,FRZ,CHOPD,UNPREP",-4
181,"PUMPKIN,RAW","SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",0,-1,"YAM,RAW",-3
182,"SALSIFY,(VEG OYSTER),RAW","COLLARDS,RAW",-4,-5,"DRUMSTICK LEAVES,RAW",-7
183,"SAUERKRAUT,CND,SOL&LIQUIDS","CAULIFLOWER,GREEN,RAW",4,-4,"MUSTARD GREENS,RAW",-4
184,"SEAWEED,AGAR,RAW",POTATO FLOUR,0,-5,"BRUSSELS SPROUTS,RAW",-6
185,"SEAWEED,LAVER,RAW","MUSTARD GREENS,RAW",-3,-4,"SEAWEED,AGAR,DRIED",-4
186,"SQUASH,SUMMER,SCALLOP,RAW","CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT",-1,-2,"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",-5
187,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW","SWAMP CABBAGE,(SKUNK CABBAGE),RAW",-1,-2,"YAM,RAW",-3
188,"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,WO/SALT","SQUASH,WNTR,BUTTERNUT,FRZ,UNPREP",0,-2,"MUSHROOMS,WHITE,MICROWAVED",-4
189,"SWAMP CABBAGE,CKD,BLD,DRND,WO/SALT","CABBAGE,COMMON,FRESHLY HARVEST,RAW",-1,-2,"CABBAGE,SAVOY,RAW",-4
190,"SWEET POTATO,RAW,UNPREP","CHICORY,WITLOOF,RAW",-2,-3,"LOTUS ROOT,RAW",-6
191,"TARO SHOOTS,RAW","BAMBOO SHOOTS,CKD,BLD,DRND,WO/SALT",0,-1,"CABBAGE,SAVOY,RAW",-4
192,"TOMATOES,GREEN,RAW","BAMBOO SHOOTS,RAW",-1,-3,"SOYBEANS,GREEN,RAW",-8
193,"TOMATO JUC,CND,W/SALT","BROCCOLI,RAW",2,-3,"BRUSSELS SPROUTS,RAW",-6
194,"VINESPINACH,(BASELLA),RAW","WINGED BEAN LEAVES,RAW",-1,-3,"TARO LEAVES,RAW",-6
195,"BORAGE,RAW","TURNIP GREENS,RAW",-1,-3,"ENDIVE,RAW",-3
196,"BORAGE,CKD,BLD,DRND,WO/SALT","BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW",-1,-3,"CHICORY GREENS,RAW",-5
197,"PEPPERS,JALAPENO,CND,SOL&LIQUIDS","ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",8,-3,"SWEET POTATO LEAVES,RAW",-6
198,"SHALLOTS,FREEZE-DRIED","CELERY,RAW",2,-1,"LEEKS,(BULB&LOWER LEAF-PORTION),RAW",-1
199,"SQUASH,SMMR,ALL VAR,RAW","CABBAGE,COMMON,FRESHLY HARVEST,RAW",-1,-2,"CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT",-2
200,"SWEET POTATO,CND,SYRUP PK,DRND SOL","SOYBEANS,MATURE SEEDS,SPROUTED,RAW",-1,-5,"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,UNPREP",-7
201,"SEAWEED,WAKAME,RAW","SEAWEED,LAVER,RAW",8,-3,"SEAWEED,AGAR,DRIED",-4
202,"POTATOES,O'BRIEN,HOME-PREPARED","CORN,SWEET,WHITE,RAW",2,-3,"ARROWROOT,RAW",-3
203,"TOMATOES,CRUSHED,CANNED","ONIONS,RAW",0,-1,"ONIONS,YOUNG GRN,TOPS ONLY",-1
204,"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT","POTATOES,BKD,FLESH & SKN,W/ SALT",1,-2,"PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",-5
205,"BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT","MALABAR SPINACH,COOKED",-2,-3,"DRUMSTICK LEAVES,CKD,BLD,DRND,WO/ SALT",-5
206,"BORAGE,CKD,BLD,DRND,W/SALT","BRUSSELS SPROUTS,CKD,BLD,DRND,W/SALT",2,-1,"TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",-2
207,"BROCCOLI,LEAVES,RAW","ARROWHEAD,RAW",-1,-2,"TARO LEAVES,RAW",-6
208,"BUTTERBUR,CKD,BLD,DRND,W/SALT","CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT",2,0,"POTATOES,CND,DRND SOL,NO SALT",-2
209,"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,W/SALT","POTATOES,MICROWAVED,CKD,IN SKN,FLESH&SKN,W/SALT",1,0,"SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,W/SALT",-1
210,"CARROTS,CND,NO SALT,SOL&LIQUIDS","CAULIFLOWER,GREEN,RAW",-1,-4,"SEAWEED,AGAR,DRIED",-4
211,"CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT","FIDDLEHEAD FERNS,FRZ,UNPREP",0,-2,"POTATOES,CND,DRND SOL,NO SALT",-2
212,"MUSHROOMS,SHIITAKE,CKD,W/SALT","NOPALES,CKD,WO/SALT",0,-2,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT",-5
213,"POTATOES,FRZ,WHL,CKD,BLD,DRND,W/SALT","CORN,SWT,WHITE,CKD,BLD,DRND,WO/SALT",0,-2,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT",-2
214,"PUMPKIN LEAVES,CKD,BLD,DRND,W/ SALT","BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT",-1,-4,"EPAZOTE,RAW",-4
215,"SPINACH,CKD,BLD,DRND,W/SALT","BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",0,-1,"LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED",-6
216,"TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC,NO SALT ADDED","SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,WO/SALT",-1,-4,"PIGEONPEAS,IMMAT SEEDS,RAW",-8
217,"TOMATO JUC,CND,WO/ SALT ADDED","OKRA,CKD,BLD,DRND,WO/SALT",0,-3,"PEAS,GREEN,RAW",-6
218,"TOMATO PRODUCTS,CND,PUREE,W/SALT","BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,WO/SALT",1,-4,"KANPYO,(DRIED GOURD STRIPS)",-7
219,"CORN,SWT,WHITE,CND,CRM STYLE,REG PK","PUMPKIN,CKD,BLD,DRND,WO/SALT",0,-1,"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,W/SALT",-2
220,Catsup,"ENDIVE,RAW",15,-3,"SPINACH,RAW",-3
221,"PICKLES,CUCUMBER,SWT,LO NA (INCLUDES BREAD & BUTTER PICKLES)","PUMPKIN LEAVES,CKD,BLD,DRND,WO/SALT",5,-3,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED",-4
222,"CATSUP,LOW SODIUM","DOCK,RAW",5,-4,"CHICORY GREENS,RAW",-5
223,"TOMATOES,SUN-DRIED","CHARD,SWISS,RAW",3,0,"ENDIVE,RAW",-3
224,"PEPPERS,HOT CHILE,SUN-DRIED","V8 VEG JUC,ORGANIC V8",4,2,"SWEET POTATOES,FRENCH FR,CROSSCUT,FRZ,UNPREP",1
225,"CABBAGE,NAPA,COOKED","TOMATO PRODUCTS,CND,PASTE,WO/ SALT ADDED",0,-3,"PEAS,GRN,FRZ,UNPREP",-5
226,"MUSHROOMS,STRAW,CND,DRND SOL","SALSIFY,(VEG OYSTER),RAW",0,-4,"DRUMSTICK LEAVES,RAW",-7
227,HAZELNUTS OR FILBERTS,ALMONDS,1,0,"WALNUTS,BLACK,DRIED",0
228,"SESAME SD KRNLS,DRIED (DECORT)","SAFFLOWER SD KRNLS,DRIED",6,4,"SISYMBRIUM SP. SEEDS,WHL,DRIED",-1
229,"BEEF,CARCASS,LN&FAT,CHOIC,RAW","BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,CHOIC,RAW",7,0,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",-2
230,"BEEF,RTL CUTS,FAT,RAW","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,RAW",13,8,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,ALL GRDS,RAW",-3
231,"BF,RIB,EYE,SML END (RIB 10-12),LN & FT,0"" FAT,CHOIC,CKD,BRLD","BEEF,CHUCK,TOP BLADE,LN ONLY,TO 0"" FAT,ALL GRDS,CKD,BRLD",4,0,"BEEF,NZ,IMP,BOLAR BLADE,LN & FAT,RAW",-1
232,"BEEF,SHRT LN,T-BONE STK,BN-IN,LN,1/8"" FAT,CHOIC,CKD,GRILLD","BEEF,RND,BTTM RND,STEAK,LN,1/8"" FAT,ALL GRDS,CKD,BRSD",1,-1,"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,ALL GRDS,RAW",-3
233,"BEEF,VAR MEATS&BY-PRODUCTS,HEART,CKD,SIMMRD","BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",-2,-3,"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,SEL,RAW",-4
234,"BEEF,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW","BEEF,CHUCK,TOP BLADE,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",3,0,"BEEF,RND,TOP RND,STEAK,LN,1/8"" FAT,SEL,RAW",-3
235,"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,CKD,BRSD","BEEF,NZ,IMP,CHUCK EYE ROLL,LN & FAT,RAW",7,1,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD",-2
236,"BEEF,CURED,BRKFST STRIPS,CKD","BEEF,GROUND,80% LN MEAT / 20% FAT,LOAF,CKD,BKD",20,4,"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,SEL,CKD,RSTD",1
237,"BEEF,BRISKET,WHL,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD","BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",5,1,"BEEF,CHCK,MCK TENDER STK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",-2
238,"BEEF,CHCK,UNDR BLDE POT RST,BNLS,LN & FAT,0"",SEL,CKD,BRSD","BEEF,RND,TOP RND,LN&FAT,1/8""FAT,PRIME,RAW",5,0,"BEEF,BRISKET,FLAT HALF,LN,0"" FAT,SEL,CKD,BRSD",-1
239,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRLD","BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,ALL GRDS,CKD,BRLD",1,0,"BEEF,NZ,IMP,RUMP CENTRE,LN,RAW",-3
240,"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD","BEEF,VAR MEATS&BY-PRODUCTS,HEART,RAW",5,-2,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",-3
241,"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD","BEEF,PLATE STEK,BNLS,OUTSDE SKRT,LN & FAT,0"" FAT,ALL GRDS,RW",5,4,"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",-1
242,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD","BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,SEL,CKD,BRLD",0,-1,"BEEF,RND,TIP RND,RST,LN,0"" FAT,ALL GRDS,RAW",-3
243,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED","BEEF,GROUND,95% LN MEAT / 5% FAT,PATTY,CKD,PAN-BROILED",0,-1,"BF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",-2
244,"BEEF,BRISKET,WHL,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD","BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",8,2,"BEEF,RND,TOP RND STEAK,BNLS,LN & FAT,0"" FAT,SEL,CKD,GRLD",-2
245,"BEEF,BRISKET,POINT HALF,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BR",9,5,"BF,CHUCK,CLOD,TOP BLADE,STK,LN & FAT,0"" FAT,ALL,CKD,GRLD",2
246,"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD","BEEF,RND,EYE OF RND RST,BNLESS,L & F,0"" FAT,A GRDS,CKD,RSTD",5,-2,"BEEF,NZ,IMP,OYSTER BLADE,LN,RAW",-2
247,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,SEL,RAW","BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,CHOIC,CKD,BRLD",3,0,"BEEF,LOIN,TENDERLOIN RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,RSTD",-1
248,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD","BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,SEL,RAW",9,3,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW",-3
249,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,RAW","BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRLD",9,4,"BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,SEL,RAW",-2
250,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD","BEEF,NZ,IMP,SWEETBREAD,CKD,BLD",9,8,"BEEF,FLANK,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",0
251,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD",9,5,"BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,CHOIC,RAW",-2
252,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD","BEEF,CHK,UNDBL CNTR STK,BNL,DEN CT,LN&FAT, 0"" FT,SEL,CKD,GLD",7,0,"BEEF,SHRT LOIN,T-BONE STEAK,LN,0"" FAT,SEL,CKD,BRLD",-1
253,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD","BEEF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,SEL,RAW",9,-3,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",-3
254,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD","BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",9,1,"BEEF,RIBEYE PETITE ROAST/FILET,BNLESS,LN,0"" FAT,ALL GRDS,RAW",-3
255,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RS","BEEF,SHRT LN,T-BN STK,BN-IN,LN,1/8"" FAT,ALL GRDS,CKD,GRILLED",9,1,"BEEF,RIB EYE STK/RST,BONE-IN,LIP-ON,LN,1/8"" FAT,ALL GRDS,RAW",0
256,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,RAW","BEEF,CHUCK,TOP BLADE,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",6,0,"BEEF,RND,TOP RND,STEAK,LN,1/8"" FAT,SEL,RAW",-3
257,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD","BEEF,BRISKET,WHL,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",6,5,"BEEF,CHCK,MCK TENDER STK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",-2
258,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,RAW","BEEF,RIB EYE STEAK/ROAST,BNLESS,LIP-ON,LN,1/8"" FAT,CHOIC,RAW",9,0,"BEEF,FLANK,STEAK,LN,0"" FAT,SEL,CKD,BRLD",-1
259,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD","BEEF,RIBEYE PETITE ROAST/FILET,BNLESS,LN,0"" FAT,ALL GRDS,RAW",1,-3,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,SEL,RAW",-3
260,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD","BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRSD",1,-1,"BEEF,LOIN,TOP SIRLON PETITE RST/FILET,BNLS,LN,0"" FAT,SEL,RAW",-3
261,"BEEF,RND,TOP RND STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD","BEEF,TOP SIRLOIN,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",0,-1,"BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",-3
262,"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,1/8"" FAT,CHOIC,CKD,GRILLD","BF,CHK,SHLDR CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",5,1,"BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,SEL,RAW",-3
263,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW","BEEF,BRISKET,FLAT HALF,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",3,0,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,ALL GRDS,RAW",-2
264,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW","BEEF,GROUND,85% LN MEAT / 15% FAT,LOAF,CKD,BKD",6,2,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",0
265,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD","BEEF,RND,BTTM RND,STEAK,LN,1/8"" FAT,SEL,CKD,BRSD",4,-1,"BEEF,NZ,IMP,TENDERLOIN,LN & FAT,RAW",-2
266,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD","BEEF,CHUCK EYE STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",9,4,"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,CHOIC,CKD,RSTD",-2
267,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,PRIME,CKD,RSTD","BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",9,3,"BEEF,SHLDR STEAK,BNLESS,LN,0"" FAT,ALL GRDS,CKD,GRILLED",-1
268,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,PAN-FRIED","BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW",6,1,"BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN,0"" FAT,ALL GRDS,RAW",0
269,"ALCOHOLIC BEV,WINE,DSSRT,SWT","ALCOHOLIC BEV,WINE,TABLE,RED,SANGIOVESE",2,1,"FRUIT PUNCH DRK,FRZ CONC,PREP W/H2O",0
270,"ANCHOVY,EUROPEAN,RAW","MILKFISH,RAW",-2,-3,"BLUEFISH,RAW",-4
271,"BUTTERFISH,RAW","ANCHOVY,EUROPEAN,RAW",-1,-2,"BLUEFISH,RAW",-4
272,"CARP,RAW","WHITING,MIXED SPECIES,RAW",-3,-4,"BASS,FRSH H2O,MXD SP,RAW",-4
273,"CAVIAR,BLACK&RED,GRANULAR","SABLEFISH,RAW",12,0,"BURBOT,RAW",-3
274,"CISCO,SMOKED","TUNA,LT,CND IN OIL,WO/SALT,DRND SOL",3,-2,"OYSTER,EASTERN,WILD,CKD,DRY HEAT",-4
275,"COD,PACIFIC,RAW","SNAPPER,MIXED SPECIES,RAW",-2,-4,"ROUGHY,ORANGE,RAW",-5
276,"CROAKER,ATLANTIC,RAW","WHITEFISH,MXD SP,RAW",-3,-4,"SUCKER,WHITE,RAW",-4
277,"EEL,MIXED SPECIES,RAW","FLATFISH (FLOUNDER&SOLE SP),RAW",-1,-2,"CUSK,RAW",-4
278,"FLATFISH (FLOUNDER&SOLE SP),RAW","CUSK,RAW",-2,-4,"BASS,FRSH H2O,MXD SP,RAW",-4
279,"FLATFISH (FLOUNDER&SOLE SP),CKD,DRY HEAT","FISH,POLLOCK,ALASKA,RAW",0,-2,"DOLPHINFISH,RAW",-4
280,"HALIBUT,GREENLAND,RAW","FLATFISH (FLOUNDER&SOLE SP),RAW",-1,-2,"BASS,FRSH H2O,MXD SP,RAW",-4
281,"HERRING,PACIFIC,RAW","MACKEREL,PACIFIC&JACK,MXD SP,RAW",0,-2,"MONKFISH,RAW",-5
282,"LING,RAW","ROCKFISH,PACIFIC,MXD SP,RAW",-3,-4,"MONKFISH,RAW",-5
283,"MACKEREL,ATLANTIC,RAW","FLATFISH (FLOUNDER&SOLE SP),RAW",0,-2,"SALMON,CHUM,RAW",-4
284,"MACKEREL,PACIFIC&JACK,MXD SP,RAW","ROCKFISH,PACIFIC,MXD SP,RAW",-2,-4,"MONKFISH,RAW",-5
285,"MACKEREL,SPANISH,RAW","SHEEPSHEAD,RAW",-3,-4,"WHITING,MIXED SPECIES,RAW",-4
286,"MULLET,STRIPED,RAW","SUNFISH,PUMPKIN SEED,RAW",-3,-4,"SHARK,MIXED SPECIES,RAW",-4
287,"OCEAN PERCH,ATLANTIC,RAW","PIKE,NORTHERN,RAW",-2,-4,"BLUEFISH,RAW",-4
288,"FISH,POLLOCK,ALASKA,RAW","CUSK,RAW",-2,-4,"DOLPHINFISH,RAW",-4
289,"POMPANO,FLORIDA,RAW","EEL,MIXED SPECIES,RAW",0,-1,"SALMON,CHUM,RAW",-4
290,"SABLEFISH,RAW","CARP,RAW",0,-3,"WHITING,MIXED SPECIES,RAW",-4
291,"SALMON,COHO,WILD,RAW","SALMON,CHUM,RAW",-3,-4,"CUSK,RAW",-4
292,"SALMON,SOCKEYE,RAW","LING,RAW",-2,-3,"MONKFISH,RAW",-5
293,"SEATROUT,MXD SP,RAW","TILEFISH,COOKED,DRY HEAT",-3,-4,"STURGEON,MXD SP,RAW",-4
294,"SPOT,RAW","SHARK,MIXED SPECIES,RAW",-3,-4,"ROUGHY,ORANGE,RAW",-5
295,"SWORDFISH,RAW","CATFISH,CHANNEL,WILD,RAW",-3,-4,"GROUPER,MIXED SPECIES,RAW",-4
296,"SWORDFISH,COOKED,DRY HEAT","SHEEPSHEAD,CKD,DRY HEAT",-1,-4,"ROUGHY,ORANGE,RAW",-5
297,"TROUT,MIXED SPECIES,RAW","SNAPPER,MIXED SPECIES,RAW",-3,-4,"ROUGHY,ORANGE,RAW",-5
298,"YELLOWTAIL,MXD SP,RAW","WHITING,MIXED SPECIES,RAW",-3,-4,"SUCKER,WHITE,RAW",-4
299,"LOBSTER,NORTHERN,RAW","OYSTER,PACIFIC,RAW",-1,-3,"SHEEPSHEAD,RAW",-4
300,"SHRIMP,MIXED SPECIES,RAW","CRAB,DUNGENESS,RAW",1,-1,"WHELK,UNSPECIFIED,RAW",-2
