,NDB_No,Shrt_Desc,nutri_values,nutri_scores,nutri_scores_uri
1168,http://idea.rpi.edu/heals/kb/usda#05737,"TURKEY,RTL PARTS,DRUMSTK,MEAT & SKN,CKD,RSTD",0,b,https://w3id.org/um/ken4256/nutriscore/b
1169,http://idea.rpi.edu/heals/kb/usda#05738,"TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,RAW",-3,a,https://w3id.org/um/ken4256/nutriscore/a
1170,http://idea.rpi.edu/heals/kb/usda#05739,"TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,RSTD",-3,a,https://w3id.org/um/ken4256/nutriscore/a
1171,http://idea.rpi.edu/heals/kb/usda#05740,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RAW",-3,a,https://w3id.org/um/ken4256/nutriscore/a
1172,http://idea.rpi.edu/heals/kb/usda#05741,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RSTD",-1,a,https://w3id.org/um/ken4256/nutriscore/a
1173,http://idea.rpi.edu/heals/kb/usda#05742,"TURKEY,RTL PARTS,THIGH,MEAT & SKN,RAW",-1,a,https://w3id.org/um/ken4256/nutriscore/a
1174,http://idea.rpi.edu/heals/kb/usda#05743,"TURKEY,RTL PARTS,THIGH,MEAT & SKN,CKD,RSTD",0,b,https://w3id.org/um/ken4256/nutriscore/b
1175,http://idea.rpi.edu/heals/kb/usda#05744,"TURKEY,BACK,FROM WHL BIRD,ENHANCED,MEAT & SKN,RAW",0,b,https://w3id.org/um/ken4256/nutriscore/b
1176,http://idea.rpi.edu/heals/kb/usda#05745,"TURKEY,BACK,FROM WHL BIRD,ENHANCED,MEAT & SKN,RSTD",2,b,https://w3id.org/um/ken4256/nutriscore/b
1177,http://idea.rpi.edu/heals/kb/usda#05746,"CHICkN,BROILR OR FRYRS,BRST,SKNLSS,BNLESS,MEAT ONLY,CKD,BRSD",-3,a,https://w3id.org/um/ken4256/nutriscore/a
1178,http://idea.rpi.edu/heals/kb/usda#05747,"CHCKN,BROLR OR FRYRS,BRST,SKNLSS,BNLESS,MEAT ONLY,CKD,GRILLD",-4,a,https://w3id.org/um/ken4256/nutriscore/a
1179,http://idea.rpi.edu/heals/kb/usda#05748,"CHIKN,BRLR OR FRYRS,BRST,SKNLSS,BNLSS,MEAT OLY,ENHCD,BRSD",-2,a,https://w3id.org/um/ken4256/nutriscore/a
1180,http://idea.rpi.edu/heals/kb/usda#05749,"CHCKN,BRLR OR FRYRS,BRST,SKNLSS,BNLSS,MEAT OLY,ENHCED,GRILLD",-1,a,https://w3id.org/um/ken4256/nutriscore/a
1181,http://idea.rpi.edu/heals/kb/usda#06001,"SOUP,CRM OF ASPARAGUS,CND,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1182,http://idea.rpi.edu/heals/kb/usda#06002,"SOUP,BLACK BEAN,CND,COND",3,c,https://w3id.org/um/ken4256/nutriscore/c
1183,http://idea.rpi.edu/heals/kb/usda#06003,"CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1184,http://idea.rpi.edu/heals/kb/usda#06004,"SOUP,BEAN W/ PORK,CND,COND",1,b,https://w3id.org/um/ken4256/nutriscore/b
1185,http://idea.rpi.edu/heals/kb/usda#06006,"SOUP,BEAN W/ FRANKFURTERS,CND,COND",3,c,https://w3id.org/um/ken4256/nutriscore/c
1186,http://idea.rpi.edu/heals/kb/usda#06007,"SOUP,BEAN W/ HAM,CND,CHUNKY,RTS",-1,a,https://w3id.org/um/ken4256/nutriscore/a
1187,http://idea.rpi.edu/heals/kb/usda#06008,"SOUP,BF BROTH OR BOUILLON CND,RTS",4,c,https://w3id.org/um/ken4256/nutriscore/c
1188,http://idea.rpi.edu/heals/kb/usda#06009,"SOUP,BF NOODLE,CND,COND",5,c,https://w3id.org/um/ken4256/nutriscore/c
1189,http://idea.rpi.edu/heals/kb/usda#06010,"SOUP,CRM OF CELERY,CND,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1190,http://idea.rpi.edu/heals/kb/usda#06011,"SOUP,CHS,CND,COND",8,c,https://w3id.org/um/ken4256/nutriscore/c
1191,http://idea.rpi.edu/heals/kb/usda#06012,"SOUP,CHICK W/ DUMPLINGS,CND,COND",5,c,https://w3id.org/um/ken4256/nutriscore/c
1192,http://idea.rpi.edu/heals/kb/usda#06013,"SOUP,CHICK BROTH,CND,COND",4,c,https://w3id.org/um/ken4256/nutriscore/c
1193,http://idea.rpi.edu/heals/kb/usda#06014,"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND",8,c,https://w3id.org/um/ken4256/nutriscore/c
1194,http://idea.rpi.edu/heals/kb/usda#06015,"SOUP,CHICK,CND,CHUNKY,RTS",0,b,https://w3id.org/um/ken4256/nutriscore/b
1195,http://idea.rpi.edu/heals/kb/usda#06016,"SOUP,CRM OF CHICK,CND,COND",8,c,https://w3id.org/um/ken4256/nutriscore/c
1196,http://idea.rpi.edu/heals/kb/usda#06017,"SOUP,CHICK GUMBO,CND,COND",5,c,https://w3id.org/um/ken4256/nutriscore/c
1197,http://idea.rpi.edu/heals/kb/usda#06018,"SOUP,CHUNKY CHICK NOODLE,CND,RTS",2,b,https://w3id.org/um/ken4256/nutriscore/b
1198,http://idea.rpi.edu/heals/kb/usda#06019,"SOUP,CHICK NOODLE,CND,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1199,http://idea.rpi.edu/heals/kb/usda#06022,"SOUP,CHICK RICE,CND,CHUNKY,RTS",1,b,https://w3id.org/um/ken4256/nutriscore/b
1200,http://idea.rpi.edu/heals/kb/usda#06023,"SOUP,CHICK W/ RICE,CND,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1201,http://idea.rpi.edu/heals/kb/usda#06024,"SOUP,CHICK & VEG,CND,RTS",1,b,https://w3id.org/um/ken4256/nutriscore/b
1202,http://idea.rpi.edu/heals/kb/usda#06025,"SOUP,CHICK VEG,CND,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1203,http://idea.rpi.edu/heals/kb/usda#06026,"SOUP,CHILI BF,CND,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1204,http://idea.rpi.edu/heals/kb/usda#06027,"SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS",2,b,https://w3id.org/um/ken4256/nutriscore/b
1205,http://idea.rpi.edu/heals/kb/usda#06028,"SOUP,CLAM CHOWDER,MANHATTAN,CND,COND",5,c,https://w3id.org/um/ken4256/nutriscore/c
1206,http://idea.rpi.edu/heals/kb/usda#06029,"HEALTHY REQUEST,CHICK W/ RICE,COND",3,c,https://w3id.org/um/ken4256/nutriscore/c
1207,http://idea.rpi.edu/heals/kb/usda#06030,"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND",4,c,https://w3id.org/um/ken4256/nutriscore/c
1208,http://idea.rpi.edu/heals/kb/usda#06032,"SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1209,http://idea.rpi.edu/heals/kb/usda#06034,"SOUP,CRAB,CND,RTS",4,c,https://w3id.org/um/ken4256/nutriscore/c
1210,http://idea.rpi.edu/heals/kb/usda#06035,"SOUP,ESCAROLE,CND,RTS",4,c,https://w3id.org/um/ken4256/nutriscore/c
1211,http://idea.rpi.edu/heals/kb/usda#06037,"SOUP,LENTIL W/HAM,CND,RTS",3,c,https://w3id.org/um/ken4256/nutriscore/c
1212,http://idea.rpi.edu/heals/kb/usda#06038,"CAMPBELL'S,CHEDDAR CHS SOUP,COND",7,c,https://w3id.org/um/ken4256/nutriscore/c
1213,http://idea.rpi.edu/heals/kb/usda#06039,"SOUP,MINESTRONE,CND,CHUNKY,RTS",0,b,https://w3id.org/um/ken4256/nutriscore/b
1214,http://idea.rpi.edu/heals/kb/usda#06040,"SOUP,MINESTRONE,CND,COND",3,c,https://w3id.org/um/ken4256/nutriscore/c
1215,http://idea.rpi.edu/heals/kb/usda#06041,"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND",5,c,https://w3id.org/um/ken4256/nutriscore/c
1216,http://idea.rpi.edu/heals/kb/usda#06042,"SOUP,MUSHROOM BARLEY,CND,COND",6,c,https://w3id.org/um/ken4256/nutriscore/c
1217,http://idea.rpi.edu/heals/kb/usda#06043,"SOUP,CRM OF MUSHROOM,CND,COND",7,c,https://w3id.org/um/ken4256/nutriscore/c
1218,http://idea.rpi.edu/heals/kb/usda#06044,"SOUP,MUSHROOM W/ BF STOCK,CND,COND",8,c,https://w3id.org/um/ken4256/nutriscore/c
1219,http://idea.rpi.edu/heals/kb/usda#06045,"SOUP,ONION,CND,COND",4,c,https://w3id.org/um/ken4256/nutriscore/c
1220,http://idea.rpi.edu/heals/kb/usda#06046,"SOUP,CRM OF ONION,CND,COND",8,c,https://w3id.org/um/ken4256/nutriscore/c
1221,http://idea.rpi.edu/heals/kb/usda#06047,"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND",3,c,https://w3id.org/um/ken4256/nutriscore/c
1222,http://idea.rpi.edu/heals/kb/usda#06048,"SOUP,OYSTER STEW,CND,COND",9,c,https://w3id.org/um/ken4256/nutriscore/c
1223,http://idea.rpi.edu/heals/kb/usda#06049,"SOUP,PEA,GRN,CND,COND",2,b,https://w3id.org/um/ken4256/nutriscore/b
