,Food label,Substitution label
13674,"BEEF,CHUCK,UND BL POT RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD","BEEF,BRISKET,FLAT HALF,BNLESS,LN,0"" FAT,SEL,RAW"
11393,"BEEF,CHUCK,UND BL POT RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD","BEEF,BRISKET,FLAT HALF,LN,0"" FAT,SEL,CKD,BRSD"
8451,"BASS,STRIPED,RAW","TUNA,SKIPJACK,FRSH,CKD,DRY HEAT"
16272,"BASS,STRIPED,RAW","CRAYFISH,MXD SP,FARMED,RAW"
7252,"GROUPER,MIXED SPECIES,RAW","SALMON,PINK,CKD,DRY HEAT"
8617,"GROUPER,MIXED SPECIES,RAW","TUNA,FRESH,YELLOWFIN,RAW"
16352,"HADDOCK,RAW","SALMON,PINK,CKD,DRY HEAT"
8648,"HADDOCK,RAW","MONKFISH,RAW"
17444,"LINGCOD,RAW","FISH,TILAPIA,RAW"
8628,"LINGCOD,RAW","SUNFISH,PUMPKIN SEED,RAW"
16341,"SWORDFISH,RAW","OYSTER,EASTERN,WILD,CKD,DRY HEAT"
8442,"SWORDFISH,RAW","SALMON,CHUM,CKD,DRY HEAT"
8210,"TROUT,RAINBOW,WILD,RAW","GROUPER,MXD SP,CKD,DRY HEAT"
11201,"TROUT,RAINBOW,WILD,RAW","ROCKFISH,PACIFIC,MXD SP,CKD,DRY HEAT"
7142,"TURBOT,EUROPEAN,RAW","SCUP,COOKED,DRY HEAT"
8337,"TURBOT,EUROPEAN,RAW","TURTLE,GREEN,RAW"
10178,"CUTTLEFISH,MXD SP,RAW","COD,ATLANTIC,CKD,DRY HEAT"
10254,"CUTTLEFISH,MXD SP,RAW","CATFISH,CHANNEL,FARMED,CKD,DRY HEAT"
17459,"SALMON,SOCKEYE,CND,TOTAL CAN CONTENTS","CRAYFISH,MXD SP,FARMED,RAW"
17454,"SALMON,SOCKEYE,CND,TOTAL CAN CONTENTS","TUNA,WHITE,CND IN H2O,DRND SOL"
17360,"LENTILS,RAW","COWPEAS,COMMON,MATURE SEEDS,CKD,BLD,W/SALT"
10693,"LENTILS,RAW","BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,RAW"
11108,MISO,"WORTHINGTON FOODS,MORNINGSTAR FARMS,SPICY BLACK BEAN BURGER"
17507,MISO,"VITASOY USA ORGANIC NASOYA,TOFU PLUS FIRM"
17418,"TOFU,DRIED-FROZEN (KOYADOFU)","MORNINGSTAR FARMS BRKFST SAUSAGE LINKS,FRZ,UNPREP"
11084,"TOFU,DRIED-FROZEN (KOYADOFU)","BEANS,KIDNEY,RED,MATURE SEEDS,CND,DRND SOL,RINSED IN TAP H2O"
18280,"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/4""FAT,CHOIC,RAW","LAMB,NZ,IMP,RACK - PARTLY FRENCHED,LN,CKD,FAST RSTD"
11389,"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/4""FAT,CHOIC,RAW","LAMB,NZ,IMP,KIDNEY,CKD,SOAKED & FRIED"
5544,"RICE FLOUR,WHITE","WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,ENR"
5549,"RICE FLOUR,WHITE","RICE,BROWN,MEDIUM-GRAIN,RAW"
7478,"WHEAT,DURUM","PASTA,FRESH-REFRIGERATED,PLN,AS PURCHASED"
7555,"WHEAT,DURUM","PASTA,FRESH-REFRIGERATED,SPINACH,AS PURCHASED"
7797,"WHEAT FLR,WHITE,BREAD,ENR","WHEAT GERM,CRUDE"
7937,"WHEAT FLR,WHITE,BREAD,ENR","CORNMEAL,WHOLE-GRAIN,YEL"
9349,"WHEAT FLR,WHITE,CAKE,ENR","CORNMEAL,DEGERMED,UNENR,WHITE"
9354,"WHEAT FLR,WHITE,CAKE,ENR","NOODLES,EGG,DRY,ENRICHED"
