,Food label,Substitution label
1,"OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG","MARGARINE-LIKE SPRD,SMART BALANCE LT BUTTERY SPRD"
4,"OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG","FISH OIL,COD LIVER"
0,"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY","VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT"
3,"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY","OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)"
2,"USDA CMDTY FD,OIL,VEG,SOYBN,REFINED","OIL,CANOLA"
3,"USDA CMDTY FD,OIL,VEG,SOYBN,REFINED","SHORTENING FRYING (HVY DUTY),PALM (HYDR)"
2,"MARGARINE-LIKE SPRD,SMART BALANCE LT BUTTERY SPRD","OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG"
4,"MARGARINE-LIKE SPRD,SMART BALANCE LT BUTTERY SPRD","FISH OIL,COD LIVER"
5,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,FRIED,BATTER","TURKEY,DK MEAT,MEAT & SKN,RAW"
9,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,FRIED,BATTER","EMU,FAN FILLET,CKD,BRLD"
1,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD SIMMRD","CHICKEN,STEWING,MEAT ONLY,CKD,STWD"
9,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD SIMMRD","USDA CMDTY,CHICK,CND,MEAT ONLY,W/ H2O"
2,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,FLR","CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,RSTD"
9,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,FLR","TURKEY FROM WHL,LT MEAT,RAW"
5,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER","TURKEY,LIVER,ALL CLASSES,CKD,SIMMRD"
9,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER","CHICKEN,DK MEAT,THIGH,MEAT & SKN,ENHANCED,CKD,BRSD"
5,"TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RAW","PHEASANT,CKD,TOTAL EDIBLE"
7,"TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RAW","PHEASANT,LEG,MEAT ONLY,RAW"
1,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD","TURKEY,LIVER,ALL CLASSES,RAW"
6,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD","CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,STWD"
3,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ H2O","OSTRICH,TIP RAW"
7,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ H2O","OSTRICH,OYSTER,RAW"
0,"CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,RSTD","CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,STWD"
4,"CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,RSTD","GROUND TURKEY,FAT FREE,PAN-BROILED CRUMBLES"
1,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,ENHANCED,RAW","TURKEY,LIVER,ALL CLASSES,RAW"
3,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,ENHANCED,RAW","CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,RSTD"
3,"SOUP,CRM OF ASPARAGUS,CND,COND","SOUP,BF NOODLE,CND,PREP W/ EQ VOLUME H2O"
8,"SOUP,CRM OF ASPARAGUS,CND,COND","CAMPBELL'S SOUP ON THE GO,CHICK W/ MINI NOODLES SOUP"
2,"SOUP,CHS,CND,COND","SOUP,MINESTRONE,CND,COND"
9,"SOUP,CHS,CND,COND","CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP"
3,"SOUP,MUSHROOM W/ BF STOCK,CND,COND","CAMPBELL'S LO NA SOUPS,CRM OF MUSHROOM SOUP"
4,"SOUP,MUSHROOM W/ BF STOCK,CND,COND","PREGO PASTA,CHNKY GRD MSHRM & GRN PPPR ITAL SAU,RTS"
1,"SOUP,TOMATO BF W/ NOODLE,CND,COND","SOUP,LENTIL W/HAM,CND,RTS"
3,"SOUP,TOMATO BF W/ NOODLE,CND,COND","CAMPBELL'S,CRM OF CHICK SOUP,COND"
